n backests overests
1 -0.306053820522734199244441465275150339963041459340818713323469666488723910196649038301797329569780174076620968165592217559716935735092408380210221986477 -0.306053820522734199244441465275150339963041459340818713323469666488723910196649038301797329569780174076620968165592217559716935735092408380210221986477
2 -0.035235151598663131562907108330512656830244647780744735580156812262613651857652651240748902412213174365711303290355429745024705511747014701298696192050 -0.707387323177208923001085453204668539085165978017669495556624755521684926994647394148803809590624780094927296763195072712601527372282894229784610447350
3 0.020103343134398776642121507924920349043103301612633239419408723274400402919443386194664057044329734919038834133194876034290009209338472887042759987961 -0.892078481660000239711817436029810445678433253140859626387078952260479659047280983082292440051078809863015412393524753172467842289350544188442900683307
4 0.021637710556801581966716573404385007363214404116813830325435156908095962095194468003576353754548167898991680646532404430616255559921814480434673622837 -0.969621622503133175154104623616196860387356659635793911635274611724478913030191315978778144007459794952694750870259687936830541960496543069211580831362
5 0.023701291975315823194729523902043548320878673889504881954090347580133286299498932762453154142783958519441450157128252160483039754896091309246625519523 -0.991932411528473679287813022228545166592243022058419875709301362715935204051663609973304642253236533499514913937716503285122961128476814718599877617162
6 0.023701371583152334053378933667537546468000699840375991903204151272861895370589460056532215025423311022996978787692861848558626364314512418527469674182 -0.998123444198114812313387994743535209833064416009166319563662628479819672705366264876918939764959462545328990202777070019654472304575604218943866524900
7 0.026386992557910646408261317546625884229792514353494982912722872665963832301481432021727636369613004618022103411629495045326655688283540293941255247723 -0.999552165148637834983914225612081075445876256979942777839305650463458473324482137241641834409479961745515545799200214802714394702739719295103107934171
8 0.026391547403165911557628696362527000397380306174734103067755371457626264771745726786813047261402572929651753552674948464127854963674083241467728481254 -0.999902066418824954333347026299287373479278357607774043082540973002934760885053977245733453175803215625966856199804590737499396776416078746683777375279
9 0.027337615527526582699774498596850045447851815456787041277630645263108583022695305771341137881035582573528503080165847263021914886121819794783891361295 -0.999977431736447574725919962382245302266626386672063465092481768797643577529558820724056253270170278186034787967129946508359227105466159018393651581723
10 0.027602945885091445974812023378280749133169206245157952595502590766978107567118401414393732952826767454851919206865102123386729620024546135479336815261 -0.999995200080614792089032043648260815988225690333391135886110417901838605919542062671693666211529630225787120914081353501363468780341134170154115065295
11 0.028519337914050938201794852305481363895492890752338017051122322204417768562849154011530262542128096337914358623027958012504745874446809040834550780247 -0.999998910882211460896857398200324758743058485206650150076554575270243307875956462509147803480112837264458688419633653326980113525176637255689267840951
12 0.028770044285337771085570465250005632471436749420371295650987899408689096729368510392397556176498090185918447816650426055349293682260304879367229894056 -0.999999772258741729527297724604293708668448734692829706474319177111205339831444835972625671430824122954943470202001304435314195314446273974298628930544
13 0.028984535307022455096380051386731575836865297278984475542589829011623743283735540386035172164298304357931957650394450814263119777549227919491599876452 -0.999999948746955141109483477814655114456148862165427321258397234898287411280102982316521979369128085553177458133609204927618125049173781373802445136650
14 0.029608027277654348389461640342477027781752426592826289834513864322642569428794634742313930987766219022769584056849701545128499020007351984312435395046 -0.999999989410003343797145204038670855624007563162368974185321589638360548428616450958517490411310848242598541656080238102801925788776564768663140813006
15 0.029709416739042889677891479561164721971733429320581530230634854444667543144874654247003116718521097709934010464979505577004415427291189977130496674792 -0.999999997627945625210553117074556022123107344773735716845488660455560287991363441547753263342614075971145486273088931556018108816360019274695567879192
16 0.030147135357783939560667141474533547244870695371986994130436641231811120769170879489473876233302343568001659043521100411233123316828571629785973721223 -0.999999999514307227963640632764947290292927011432424601911661802992127888365327802522998503633716449815557899256999622323307639564428049773199897692092
17 0.030156308356097150409843950509055698214213123284883012260909437709192198346350093336115014194218042653754349495350814622805830683972382444886474691730 -0.999999999891516908556912111415612963101182711078676632306726064781467536471870753645353339849500831365803632754760710797945213962259964430494680920954
18 0.030655493894933469975162330567876566725073082799679276343443402335859593956464932397061574005663919520462313856292136315144271331293582860251833060952 -0.999999999977946679401167592388017871575590717312292651199122403035742070686094348610056744636414797750565252386658472755724690984574550139781077070741
19 0.030705919278261274697618703042029236703630710632887948204235008627969829897841424724047403663384686047479594354771611520820172327047399104864963582291 -0.999999999995082783481217665803052596400013364807104591457239408729184659483654153164319205241606103024395371448714938423162391174322746889908252377312
20 0.030907457190000154287427964761534709211036001057511226734289889758973577152732374051601274849764006532820692078417267921504435038894265788177225512539 -0.999999999999006238298447553512441322499351210447852406960571582959796563000643028063691195193059191155052374066806124437624028336577715307350634695261
21 0.031146721833974023469883244988631294121728723235241602653238412988318423629230450988213041975690435065405523430675256568980262702497437569768113702648 -0.999999999999778664081634850116961422215843427618569513763260025172517156301550594057452951178965428188378831125420605279288763067811617365311200980801
22 0.031257492238213809622951305213142871983654020139681054540336107487852280193980608327510390337842899691793908350529956149875041015314834732777570470379 -0.999999999999955485645362987499881664857988018625181877804563648089305717899893972071834686035374158490458052009489486873493058623703455144973884769443
23 0.031495009771234640927900253168914422110542926984582993400094192514173670858402903097521978656367241311538077892011752613780051959333173373960252260169 -0.999999999999990092669569652978831638684591987123028240299128557081953957688739208946463028628785289742898113558884129816839495369805373038952119511708
24 0.031495756935933282901269496139906900861462217065937476007041812877016817747705137842570418797414769597782783453805894011457993903661905487226954673278 -0.999999999999998015577054483841032255757393182904657089580567825056807114641074695763133386412772478234716730354698799885236084813315758980590625619415
25 0.031804665793253558713229240630494689508924806687296706982124301223121588323202204382539728916081981239095359812919679880810702118004825127970308932521 -0.999999999999999558565724462706920149647445275297749268509720087952309777536445016065514702697729915686368450172867173486616946288207028769913074882827
26 0.031817622517889550201823235540100578318900795387429717248705213721165708193289802646751107502951003831973928527585826265619002897593392005017650832597 -0.999999999999999911883572111798516311852553899835298758298496102079207216893520395185824075087245766800828423343750141472319482085048590255035655368911
27 0.031977165191921256081053274218425808982090570318894989241435386124703757680570717331458066690481088550024374214363760594624633812197231913874405251024 -0.999999999999999980406909228509920890067916344106992379142342066812424117641178102907438761833356973043679406531353950484126093827290948272327593126622
28 0.032095739152066790978468169591141692860053995428403655103354524323184931374137882800601333874996703746181321894487358614417018150610934981444867779422 -0.999999999999999996100142805257787702740834021216084257405983937324815857434514820143225377054604751304575728431725404859804061860686191771719889860112
29 0.032191986285061955094210309320891926295129466633371576987593678932616469545372071269555236873151076566624836950630967232514686737853097700240781858084 -0.999999999999999999133209134607086198367779969192979460896583772569521107025458163563507261720492876272901216372752625492375871447475526384046278639711
30 0.032339996385793744830481054682948586300934972671622459200728557270723099444493677671009640501261154894561459884008976706299361095256795877267089703212 -0.999999999999999999827882093417048401056060739611372791783526902522956988038322695435331520702226232667757528114398880656118464468995309448443432549206
31 0.032345009948253359424288506500140813729534266983661328828242989791106295526441665909545162100040300476780608816222749513372679010630326896755472174378 -0.999999999999999999961762186702404935048940210993333406438365943157672769548409862826479392560668929416949640086617427545256831772238648974778295029773
32 0.032555376247756893645198093350435496067211064064212321687654977891703531087443483501224063159118669928783350342494768735954567802546919923964637770074 -0.999999999999999999992421928362998113265337490624653100784445145288915824008969592599068163048186333970900098742278655700523001771518165656029607629294
33 0.032559308077817631709524433379562318700311578624213812966823734065573112771739529950391572933212588602286684964473694847976482251735300459766205022879 -0.999999999999999999998317355270064064235018173420735713420621457770161195636036691236299457852295560969277956871084745656861976284560550497618824899721
34 0.032684380505686139037542076617699679637966252095065482315208290507538928893272727273565002704994040887870390217640190230547783511713568000829961162038 -0.999999999999999999999667047795053359676085035357957994604125883257448437758339327816395353318898659039569012581057368774620103619744507756239401716967
35 0.032754100115845479776479247188254871373198331291345071205040221020635422307762542465579542262072523115471305443049698946806764005333028905151758907121 -0.999999999999999999999926118404440421299447194068532937126198735742086821306075109155342399248135063762407595177239116054381635372675789754657603863029
36 0.032833640066298299263392543440024844753041470093869675231592852610120381040764782486453255612001550377584050231500956088239014849600838383766057406524 -0.999999999999999999999985398255295100308023191129279935387021088766900697876740643854845989191589476876561384516515984000123080415759854622408689095569
37 0.032935853119033871659930121708369027328861007724523475809312764182624013994798184331630825489904365483755844406923440144515616829786715106834202960026 -0.999999999999999999999996762379371974258451189549209189157959011069222678708433418981630838153429580485660559526577908051693224664867423221176101464739
38 0.032943105595089285644763243659066296734999098718926910942257939008825964526550549972875820898833853230898149363577210372169344005738841409945434919625 -0.999999999999999999999999360682869595098109535409598126954544804152369764851478084291384935079266145102146504997803629703845318107527958884396055475859
39 0.033096743231286182293037732438673754619792830726381275725781601785060702447346583910253609659400916785867203138636873176834300822925659766002232291225 -0.999999999999999999999999858373123640270820436958151033928524976963046303619907971264825332328420238199211191819925998284843107216842690629068106262000
40 0.033098183722099261100343505172161170024056018243947928787860954856909767445299529151861010559207211444922853962460439509827287946994699514159695205917 -0.999999999999999999999999972049465681573411059303699047060695509237576340466297381420584807295205408211201633262174643339462062803174535303723724171405
41 0.033197797227369985716620080818401799539827459958314804668316124500060723361330970019831159001200611233035203477491599724124999411455024828292985943550 -0.999999999999999999999999993814622983209322069147195347949693465691666931132048060021469970540513923408229170991073359363854575387773184578257701819231
42 0.033244352291910452820631904308355463383450945639186263662083311880477408941296137557594203076098476744518572716550851301525778754243498766013235925105 -0.999999999999999999999999998779642075529224211039973899034238513155011517816392177945657160233679505426526214565550873822397635136873181366104133657848
43 0.033309374777560825240027841340229341614966464354944022972734541808977192649909750359358155774955128294265454494276708923652921224026706813916504481541 -0.999999999999999999999999999730258563654322901894440180216498420883648068508715755151254121739757321057936278761882514205042799294961018906694588538336
44 0.033385642277263222865184821577699635956914924589714782166249855390999964789584777929654982452913504795703319716939832024282456879400994277117978981150 -0.999999999999999999999999999946781935768499317908506390188029134820706399309201500092257745664965078072558057435661823613775880004657693185395151782168
45 0.033393219947886658996295130959203505012408172128422795002379255470374676936374106526998150679583992833837440390497410341136305240122691255834140126663 -0.999999999999999999999999999988252593727633245916269205319826756147646610829524448407030727929140405743235965340664786720216244887003550773509274726088
46 0.033511443653654078398366755483972095228599943294509643863182000574527848924664002570949915927394319461670075894854814750895550311336471578237280611129 -0.999999999999999999999999999997681808760038563442478223994779362302452736051839729595742488703473136916208575188706961587968719093355209760908446041191
47 0.033512141941355591913932807610486980309281399892620968924894438627525737247770618817054824677874572031420300915159216421197200582432518658726470459074 -0.999999999999999999999999999999489031295860899106475043075083799604114694859275484432047374259582460341306248402330698362946253351066167141324161962718
48 0.033592992708969145614412696369564499602137975704468681441534462073793253356259770964249131761593672415219324639598157295581353130413166520727598349396 -0.999999999999999999999999999999899122310366796855252735137301419911298773074048465913885986668190353050372861932167611669904273604405394220234602826901
49 0.033627311337208017501918256118720754272438779497335916568405874227733202087851051634892715665056493617310443084748630928095542532410426454089321788408 -0.999999999999999999999999999999977800439699842219318448728332031527828297743484996400513983435649213406144922673101709904583637630672209491809224461973
50 0.033680458962951104208235660249052738774225785565829752809871695925159221440215696019869471469003659558061008504478531080896650318769223040520480375163 -0.999999999999999999999999999999995614400553996510985624381535938954244914904974667371515577203912940370103308279602279331116078846169216930153037017974
51 0.033740841775682046235053137866792943353699952407252620071075112672414748468119846953900194702371058724533335080955133404246568562160448892566935080374 -0.999999999999999999999999999999999036553511438252221862098198500775354474748527308927396704311774710630208494538353044390590338540583505369439424194027
52 0.033747746964031925532366859351889913940134596445500978972769290064966831041036079928656216361300382200602371446693745462795716494224029524135013743814 -0.999999999999999999999999999999999809507022452899173946715800633795296318042605732891475447452105781446006262311513026619794425503610987037733739557804
53 0.033842407482980388980134628564609465401003864809467613909095357060052187843611556832742156699516284922123771723145055414221619069806734669529869157194 -0.999999999999999999999999999999999958228911446221134451109839323066083974705146236356297952388913554071400369977780291642326099501076863639663209295774
