n backests overests
1 -0.241053864246052167203577339081785280062685333704360354631521456488763696288493804436599046740748320097824683660254042569304855368115785104674193505824 -0.241053864246052167203577339081785280062685333704360354631521456488763696288493804436599046740748320097824683660254042569304855368115785104674193505824
2 -0.096248717631867897296643923892544440665752590984107296242128130083839211911879037388427797080163310413928016957893059749948374777767226124309400745107 -0.467401588740844068221060283605210932367274745706836753614517697784424803692927661647260727027941497205469580628405161993431435233850022413212774386875
3 -0.040846062611123665464776939118112348541734162279958174813073840945557515324218215763564257770908787913928348611806927114095715909862887459689906599573 -0.528747591855073956160866891187899388197026499017869031739252216951218635631639271149025620116188724235217520387713220191064289206950709307383317695513
4 0.024972740578870764417854558639776508613691722526156186565106981428543666061599529951423634756648222602331535381035793553328063126118052275440140583116 -0.590797846072927421689173335741264020133667461775005564666576282449716676243212800138226509282090363003681188460146978908672485830130692622650783576707
5 0.025033597196615160555037349674283610931650396321033068081065803402144891832360285053053719111601688879342538394251560211383633009923805565439671584211 -0.745610483633336601352705364217703439607638159512205046937953980880829828170522029941418505323538943488024754057149725568886587051880512328911742093607
6 0.032346368960659296610579175776748261701958904957595672950662623155355311423637130611053612417373170441114561648747803356112377874648383302375678059689 -0.855811205761979786042365042583377339231736803570649434360097020974106203972512385465451103672033720877693549626451660586983318359366238963510765122279
7 0.036664408439886635450373514641369870272779346911711730154887931572956103130182598385810259540901534825602345497762893852405487856231060077767165960094 -0.886982402076700450181416800183685586751078299180259560076938879480115611532691121903325189625988369396382707701262991939213245219709357227633621992336
8 0.037888497997311124310648892275512301767338143675938815242173568464538444375757832891525779272030089197978238422291904899882253485418382692462062550890 -0.910335330933727885625052930436183184540728812463908484849776051245855408666231978561797306088293464769842875394334460468920561166467556768770077425348
9 0.039681785742847485705915865193375781200865601136309696935529768085612253088102950699801181025140527961535245840770941940894890164242572319413616388999 -0.951204115982261902172390939424002667359249664769944214177370322101809744161693657880388701705402541732234878510840262709666230488560534941408465711454
10 0.042567073288718089267045316124057610596029566608293230315817699447377970102176055681786863760713336019455179107352532412017084416245023947352492444186 -0.979109832788754455427919714440337366090777215778296976614590175221969346472899898750095599497216139448152047826497544257694193211765550721219296343390
11 0.047435057132309638360192730918003468159572842778492130168688908627914962534059497569300295202316678135065866082728437181636730092455227094697874623253 -0.985032877770763595591805668160174339435058691545495240847334738012711899232415398827201863835016211280048967888290220748484737997973326582983709143461
