n backests overests
1 -0.23570737707086481662656392501047698021477335050647276020344223732055204771647226943781836039178584890942089520936457917906124245991619134409664660522689355249966898823131000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.23570737707086481662656392501047698021477335050647276020344223732055204771647226943781836039178584890942089520936457917906124245991619134409664660522689355249966898823131000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 -0.13333924118350357481711611474549172004289190585116106379841600487814003954530350505755199627092056988571592195852995083302497362634303046938352768207324263022357886346680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.40932208841338707425806688804776622250174422059079335060458728863384547984877884880855299191540395913040889507717099507500455504367297878205222885421171035755181046544711000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3 0.02315362588851509004440088305985895821646390747445692469428701830303056747849444036228183738862297480721465921695396244347685255189279550366149367038228238132725869739424500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.50489517858614024124247405861242566069912351137315455762864386961752978119091265754874008081049986485368545417809245802628161266714003373960409620070341256903757084016345000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4 0.02386717097295189507197236873844650689389525882114735108228318243392650902597155329417220157951035529759366519881974788581803905604653172429078817859735906746772202880012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.70577320891845015885030275595827021860272005350963142307014470545166016061685555335970553772385568079449579700126218982003187754698498504874875656505399103664223141648854000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5 0.02675221957019501673856180801878341145762921851062784240294363206863846497855727159646292274635797425392572262015584084361515734073537079545793398399786096583538400535767800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.72282679394397509381589753137158357660070077841166058949035238335609481123751247880972065512802465971009998056428536754398587999388631385088560563405874523292572372923601000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6 0.03406160300192939097435031856365802425303746039389885419792522733011512799610873597623305078939294205309359875297223246251069172560199131852618849277331052770807406726946100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.85446129483884464275653996394285423981719465059830935512329067595867068677364563965095214678448228767107171793354678710341779563962632287629937042063258508422064251993138000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7 0.03430467293615700444264128741729596176484954884986571806126237118070245943472127347288411266003643512876078790732311692962215919382839131274250800171595012303297821773340100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.90516470232743521162071933653236094594377240592805351430402406424726918282009994521787127458151766950678277946176038285241228066931040383184428319966126739491207863468493000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8 0.03731456157281482037054883423343834903915322481580561750634437576315241714985578091220795243176085346321183030386327870438123943356631987802859702404546276799935591475555700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.91903860720252741181643948740302482898346936412390527484870976870326773261282848050911951766342667969538086685676466304089181322648774124380647488901235166809820327564763000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9 0.03731558542068567459075209174973466283785309290527297228436479784444854741651089402676926604534152154710900080271343501195815823761992030859668955852676886686218347295031000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.96936827118471286156985129295755574057225114912398340609266031418858833664331019829081780349582514899792077072206480415611763795387690761380992133014533670237247582749744000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10 0.03746531543887207111868233454992881983658021574879403648285972314365120685197525448312606889339468758467537816581618812704247745429931181283076358556394321116428919197427800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.97311125434640368623680306748977706193887838968627750877834194042766384420628464572484775059307185542617368002497722534280769777557977754579687872238555374192234063097522000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
